Band,CV,Lambda,spike_utilization_mean,spike_utilization_std_dev,spike_utilization_hw,spike_utilization_ci_low,spike_utilization_ci_high,system_utilization_mean,system_utilization_std_dev,system_utilization_hw,system_utilization_ci_low,system_utilization_ci_high,response_time_mean,response_time_std_dev,response_time_hw,response_time_ci_low,response_time_ci_high
5,12.0,12.5,0.631132,0.144442,0.008857,0.622275,0.639990,0.743310,0.096434,0.005913,0.737397,0.749224,3.854763,0.533844,0.032736,3.822026,3.887499
5,12.0,14.0,0.647829,0.156676,0.009608,0.638221,0.657436,0.763547,0.095903,0.005881,0.757666,0.769428,4.104083,0.596841,0.036599,4.067483,4.140682
10,1.0,2.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.249966,0.015804,0.000969,0.248997,0.250935,0.499079,0.072411,0.004440,0.494639,0.503520
10,1.0,3.5,0.000124,0.000982,0.000060,0.000064,0.000184,0.425110,0.021122,0.001295,0.423815,0.426406,1.522484,0.409145,0.025089,1.497395,1.547574
10,1.0,5.0,0.037788,0.025325,0.001553,0.036235,0.039341,0.504828,0.019940,0.001223,0.503605,0.506050,3.388610,0.341185,0.020922,3.367688,3.409532
10,1.0,6.5,0.227972,0.058089,0.003562,0.224410,0.231534,0.631963,0.033094,0.002029,0.629934,0.633993,3.862662,0.231969,0.014225,3.848437,3.876887
10,1.0,8.0,0.455280,0.073514,0.004508,0.450772,0.459788,0.765960,0.036524,0.002240,0.763721,0.768200,3.834211,0.205898,0.012626,3.821585,3.846837
10,1.0,9.5,0.624228,0.084868,0.005204,0.619023,0.629432,0.857255,0.033614,0.002061,0.855193,0.859316,3.775462,0.214194,0.013135,3.762328,3.788597
10,1.0,11.0,0.734279,0.096586,0.005923,0.728356,0.740202,0.911117,0.031684,0.001943,0.909174,0.913060,3.852976,0.263734,0.016173,3.836804,3.869149
10,1.0,12.5,0.776689,0.103728,0.006361,0.770328,0.783050,0.934572,0.029780,0.001826,0.932745,0.936398,4.012638,0.302303,0.018538,3.994101,4.031176
10,1.0,14.0,0.804065,0.112811,0.006918,0.797147,0.810982,0.947193,0.029226,0.001792,0.945401,0.948985,4.197389,0.324406,0.019893,4.177496,4.217282
10,4.0,2.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.250278,0.022201,0.001361,0.248917,0.251640,0.792428,0.138189,0.008474,0.783954,0.800902
10,4.0,3.5,0.008572,0.009758,0.000598,0.007973,0.009170,0.404462,0.027778,0.001703,0.402758,0.406165,2.283489,0.364914,0.022377,2.261112,2.305866
